,posib_comb,correlation_agency,pvalue_agency,correlation_patiency,pvalue_patiency
0,(nsubj+dobj),0.503837457955222,5.5323005169916584e-05,0.421520525450907,0.0009830465151916528
1,(nsubj+pobj),0.500938201728752,6.201778323518302e-05,0.41696145682734015,0.0011298129626702937
2,(nsubjpass+dobj),0.3543941677689255,0.006344307829039579,0.28549017195238247,0.029830825074061325
3,(nsubjpass+pobj),0.40301468934699036,0.0017089684398356828,0.31368145845899253,0.01649459931314884
4,(dobj+pobj),0.380786859023655,0.0031898393291846464,0.2974253283706051,0.023366160293209617
5,combination1nsubj/nsubjpass,0.5861236292739972,1.3378702462034285e-06,0.5128197241328228,3.857691122673668e-05
6,combination2nsubj/dobj,0.7831984988772341,3.721935646880743e-13,0.7261066166292413,1.1184126295170656e-10
7,combination3nsubj/pobj,0.7657264142237535,2.52816801122119e-12,0.7622812144329264,3.617681088740178e-12
8,combination4nsubj/(dobj+pobj),0.7760004921713988,8.366644050925781e-13,0.7526838721584792,9.517123012738786e-12
9,combination5nsubj/(nsubjpass+dobj),0.7905195484327417,1.581390310014981e-13,0.7299209449690856,7.9940882528731e-11
10,combination6nsubj/(nsubjpass+pobj),0.7696637854132703,1.6660072357979534e-12,0.7626503429819437,3.482423573474542e-12
11,combination7nsubj/(nsubj+pobj),0.7657264142237535,2.52816801122119e-12,0.7622812144329264,3.617681088740178e-12
12,combination8nsubj/(nsubj+dobj),0.7831984988772341,3.721935646880743e-13,0.7261066166292413,1.1184126295170656e-10
13,combination9nsubj/(nsubj+nsubjpass),0.5861236292739972,1.3378702462034285e-06,0.5128197241328228,3.857691122673668e-05
14,combination10nsubjpass/nsubj,-0.5861236292739972,1.3378702462034285e-06,-0.5128197241328228,3.857691122673668e-05
15,combination11nsubjpass/dobj,0.46177036117759507,0.0002635669112144216,0.48594939681050364,0.00011015264542376168
16,combination12nsubjpass/pobj,0.38488395347308973,0.002852276932226822,0.4681852439146759,0.00021042402731299645
17,combination13nsubjpass/(dobj+pobj),0.44526131225199184,0.00046122355055648823,0.5097357654803286,4.371020063502374e-05
18,combination14nsubjpass/(nsubjpass+dobj),0.46177036117759507,0.0002635669112144216,0.48594939681050364,0.00011015264542376168
19,combination15nsubjpass/(nsubjpass+pobj),0.38488395347308973,0.002852276932226822,0.4681852439146759,0.00021042402731299645
20,combination16nsubjpass/(nsubj+pobj),-0.05047832907810145,0.706691678860913,0.05269310037220462,0.6944405881727803
21,combination17nsubjpass/(nsubj+dobj),-0.13937678796640932,0.29673578909145987,-0.08086991294718386,0.5461963724215247
22,combination18nsubjpass/(nsubj+nsubjpass),-0.5861236292739972,1.3378702462034285e-06,-0.5128197241328228,3.857691122673668e-05
23,combination19dobj/nsubj,-0.7831984988772341,3.721935646880743e-13,-0.7261066166292413,1.1184126295170656e-10
24,combination20dobj/nsubjpass,-0.46177036117759507,0.0002635669112144216,-0.48594939681050364,0.00011015264542376168
25,combination21dobj/pobj,-0.24630102433172354,0.062354765164529605,-0.18274939247592975,0.1697289492388262
26,combination22dobj/(dobj+pobj),-0.24630102433172354,0.062354765164529605,-0.18274939247592975,0.1697289492388262
27,combination23dobj/(nsubjpass+dobj),-0.46177036117759507,0.0002635669112144216,-0.48594939681050364,0.00011015264542376168
28,combination24dobj/(nsubjpass+pobj),-0.2611276877172476,0.04771515607375166,-0.2011442985019533,0.13001472457053934
29,combination25dobj/(nsubj+pobj),-0.625396044172383,1.5333836150000252e-07,-0.5531698914146852,6.691889845889619e-06
30,combination26dobj/(nsubj+dobj),-0.7831984988772341,3.721935646880743e-13,-0.7261066166292413,1.1184126295170656e-10
31,combination27dobj/(nsubj+nsubjpass),-0.7765353677649198,7.886032473293137e-13,-0.7253795162123505,1.1915877016669634e-10
32,combination28pobj/nsubj,-0.7657264142237535,2.52816801122119e-12,-0.7622812144329264,3.617681088740178e-12
33,combination29pobj/nsubjpass,-0.38488395347308973,0.002852276932226822,-0.4681852439146759,0.00021042402731299645
34,combination30pobj/dobj,0.24630102433172354,0.062354765164529605,0.18274939247592975,0.1697289492388262
35,combination31pobj/(dobj+pobj),0.24630102433172354,0.062354765164529605,0.18274939247592975,0.1697289492388262
36,combination32pobj/(nsubjpass+dobj),0.2044388390970392,0.12371263158878455,0.13338050050026512,0.31820574119062517
37,combination33pobj/(nsubjpass+pobj),-0.38488395347308973,0.002852276932226822,-0.4681852439146759,0.00021042402731299645
38,combination34pobj/(nsubj+pobj),-0.7657264142237535,2.52816801122119e-12,-0.7622812144329264,3.617681088740178e-12
39,combination35pobj/(nsubj+dobj),-0.6105078593620229,3.608412890928065e-07,-0.6225045372050817,1.8170025945865233e-07
40,combination36pobj/(nsubj+nsubjpass),-0.7667107570211326,2.279580888752446e-12,-0.7688640068903997,1.8144980436871879e-12
41,combination37(dobj+pobj)/nsubj,-0.7760004921713988,8.366644050925781e-13,-0.7526838721584792,9.517123012738786e-12
42,combination38(dobj+pobj)/nsubjpass,-0.44526131225199184,0.00046122355055648823,-0.5097357654803286,4.371020063502374e-05
43,combination39(dobj+pobj)/dobj,0.24630102433172354,0.062354765164529605,0.18274939247592975,0.1697289492388262
44,combination40(dobj+pobj)/pobj,-0.24630102433172354,0.062354765164529605,-0.18274939247592975,0.1697289492388262
45,combination41(dobj+pobj)/(nsubjpass+dobj),0.17819680703805102,0.1807974935942147,0.1018487188163278,0.44680456154100834
46,combination42(dobj+pobj)/(nsubjpass+pobj),-0.27958411516810733,0.03354614408190719,-0.23627303208342307,0.07416294387784728
47,combination43(dobj+pobj)/(nsubj+pobj),-0.7420406656618167,2.6462436270761653e-11,-0.6816266264726691,3.861600338907058e-09
48,combination44(dobj+pobj)/(nsubj+dobj),-0.7308437663416286,7.364063306102374e-11,-0.7259220523547326,1.1365718621727522e-10
49,combination45(dobj+pobj)/(nsubj+nsubjpass),-0.7770463563936141,7.451561796755323e-13,-0.7566212433479961,6.4343196360874584e-12
50,combination46(nsubjpass+dobj)/nsubj,-0.7905195484327417,1.581390310014981e-13,-0.7299209449690856,7.9940882528731e-11
51,combination47(nsubjpass+dobj)/nsubjpass,-0.46177036117759507,0.0002635669112144216,-0.48594939681050364,0.00011015264542376168
52,combination48(nsubjpass+dobj)/dobj,0.46177036117759507,0.0002635669112144216,0.48594939681050364,0.00011015264542376168
53,combination49(nsubjpass+dobj)/pobj,-0.2044388390970392,0.12371263158878455,-0.13338050050026512,0.31820574119062517
54,combination50(nsubjpass+dobj)/(dobj+pobj),-0.17819680703805102,0.1807974935942147,-0.1018487188163278,0.44680456154100834
55,combination51(nsubjpass+dobj)/(nsubjpass+pobj),-0.23024393244947555,0.08207712726736181,-0.16146297948260482,0.22594861620555717
56,combination52(nsubjpass+dobj)/(nsubj+pobj),-0.6217662801070474,1.89694179499019e-07,-0.5397582208003938,1.228364686559531e-05
57,combination53(nsubjpass+dobj)/(nsubj+dobj),-0.7906425912824142,1.5583534592323978e-13,-0.7249992309821895,1.2316485111971811e-10
58,combination54(nsubjpass+dobj)/(nsubj+nsubjpass),-0.7830259779138027,3.7962570678858466e-13,-0.7252257102846518,1.2076388467570523e-10
59,combination55(nsubjpass+pobj)/nsubj,-0.7696637854132703,1.6660072357979534e-12,-0.7626503429819437,3.482423573474542e-12
60,combination56(nsubjpass+pobj)/nsubjpass,-0.38488395347308973,0.002852276932226822,-0.4681852439146759,0.00021042402731299645
61,combination57(nsubjpass+pobj)/dobj,0.2611276877172476,0.04771515607375166,0.2011442985019533,0.13001472457053934
62,combination58(nsubjpass+pobj)/pobj,0.38488395347308973,0.002852276932226822,0.4681852439146759,0.00021042402731299645
63,combination59(nsubjpass+pobj)/(dobj+pobj),0.27958411516810733,0.03354614408190719,0.23627303208342307,0.07416294387784728
64,combination60(nsubjpass+pobj)/(nsubjpass+dobj),0.23024393244947555,0.08207712726736181,0.16146297948260482,0.22594861620555717
65,combination61(nsubjpass+pobj)/(nsubj+pobj),-0.7699098711126151,1.6226987495645197e-12,-0.7527453935833154,9.45962109259743e-12
66,combination62(nsubjpass+pobj)/(nsubj+dobj),-0.6105693807868591,3.5959997538028384e-07,-0.6170291303946599,2.493977856050133e-07
67,combination63(nsubjpass+pobj)/(nsubj+nsubjpass),-0.7734165923282784,1.1109260621014881e-12,-0.7700944353871236,1.5909239101350748e-12
68,combination64(nsubj+pobj)/nsubj,-0.7657264142237535,2.52816801122119e-12,-0.7622812144329264,3.617681088740178e-12
69,combination65(nsubj+pobj)/nsubjpass,0.05047832907810145,0.706691678860913,-0.05269310037220462,0.6944405881727803
