,posib_comb,correlation_agency,pvalue_agency,correlation_patiency,pvalue_patiency
0,nsubj,0.39208695578036346,8.46035121601102e-11,0.2972823337908796,1.340744414407322e-06
1,nsubjpass,0.2691465485966778,1.315652311286575e-05,0.17591092521548823,0.004843330120715163
2,dobj,0.06178199965462399,0.3257692065211292,-0.03478536198934449,0.5803209546547772
3,pobj,0.1517683983410929,0.015278565395545167,0.035999605573368475,0.5671669978828634
4,(nsubj+nsubjpass),0.38237180088945827,2.6549412378741495e-10,0.2888609971178938,2.726076017524489e-06
5,(nsubj+dobj),0.20487583173379717,0.0010000804775622493,0.10234224121783843,0.10298967972017488
6,(nsubj+pobj),0.23620532995527205,0.0001404467793223783,0.1242670558333752,0.04744270359933044
7,(nsubjpass+dobj),0.07421622475564489,0.2376246728712027,-0.023239925768421717,0.7118754669905509
8,(nsubjpass+pobj),0.15673062761938347,0.012210646277209268,0.04135233189133761,0.5109361304917905
9,(dobj+pobj),0.12310874713066448,0.049564137878174,0.008035973079181977,0.8983897161561972
10,combination1nsubj/nsubjpass,0.35071498386631855,8.570059829650306e-09,0.31026532412694513,4.292422753915956e-07
11,combination2nsubj/dobj,0.6316903044460888,8.347469287593195e-30,0.6258334952650676,3.932950976289946e-29
12,combination3nsubj/pobj,0.5142991650498,1.2780800749475388e-18,0.5480990346722661,2.13661154311174e-21
13,combination4nsubj/(dobj+pobj),0.5796248433839629,2.7584236113809677e-24,0.6125042360060227,1.1876245067922236e-27
14,combination5nsubj/(nsubjpass+dobj),0.6327434484987059,6.294732194781789e-30,0.6281967335361789,2.112614938301412e-29
15,combination6nsubj/(nsubjpass+pobj),0.5136243935491717,1.4417751670943156e-18,0.548147984642112,2.1157950754256104e-21
16,combination7nsubj/(nsubj+pobj),0.5142991650498,1.2780800749475388e-18,0.5480990346722661,2.13661154311174e-21
17,combination8nsubj/(nsubj+dobj),0.6316903044460888,8.347469287593195e-30,0.6258334952650676,3.932950976289946e-29
18,combination9nsubj/(nsubj+nsubjpass),0.35071498386631855,8.570059829650306e-09,0.31026532412694513,4.292422753915956e-07
19,combination10nsubjpass/nsubj,-0.35071498386631855,8.570059829650306e-09,-0.31026532412694513,4.292422753915956e-07
20,combination11nsubjpass/dobj,0.4420831935681721,1.2618436225617859e-13,0.4475050895516632,5.82863966474842e-14
21,combination12nsubjpass/pobj,0.2725755718495931,1.0092307568608102e-05,0.34167688464504575,2.1592032373402152e-08
22,combination13nsubjpass/(dobj+pobj),0.35105231961935834,8.274812859167529e-09,0.4206164400168569,2.3551079136288334e-12
23,combination14nsubjpass/(nsubjpass+dobj),0.4420831935681721,1.2618436225617859e-13,0.4475050895516632,5.82863966474842e-14
24,combination15nsubjpass/(nsubjpass+pobj),0.2725755718495931,1.0092307568608102e-05,0.34167688464504575,2.1592032373402152e-08
