,posib_comb,correlation_agency,pvalue_agency,correlation_patiency,pvalue_patiency
0,nsubj,0.6657255522924072,4.3678371706699834e-05,0.707673724021223,8.49325385666621e-06
1,nsubjpass,0.5801573015719689,0.0006237285668971286,0.660213766196255,5.3154930464586876e-05
2,dobj,0.518802301255363,0.00278720901989009,0.6192156498854333,0.00020400124112451655
3,pobj,0.5862903225806452,0.0005282487305093542,0.6451612903225807,8.910339465950835e-05
4,(nsubj+nsubjpass),0.6559128977783506,6.178714237228637e-05,0.6964411770447042,1.3524101574136314e-05
5,(nsubj+dobj),0.6079241889953049,0.00028606379829610335,0.665591292827032,4.3889877166367915e-05
6,(nsubj+pobj),0.6528225806451614,6.874329188291976e-05,0.7028225806451613,1.0410061316298778e-05
7,(nsubjpass+dobj),0.5442080882581519,0.00155178859769849,0.6363544744508068,0.00011903277509402929
8,(nsubjpass+pobj),0.5798387096774194,0.0006290789885898019,0.6391129032258066,0.00010881584567825931
9,(dobj+pobj),0.5544354838709679,0.0012098181112603359,0.6233870967741936,0.00017945345385461065
10,combination1nsubj/nsubjpass,0.7077326379348327,8.472079692726594e-06,0.6309103772359234,0.0001417401401442544
11,combination2nsubj/dobj,0.7591491116309529,7.398176105871742e-07,0.647847568571116,8.142213514607483e-05
12,combination3nsubj/pobj,0.7068548387096775,8.792560993510406e-06,0.7270161290322581,3.618151109421596e-06
13,combination4nsubj/(dobj+pobj),0.7653225806451613,5.302808473480177e-07,0.7322580645161291,2.835886431461313e-06
14,combination5nsubj/(nsubjpass+dobj),0.740725806451613,1.8904061934003737e-06,0.6423387096774195,9.786587010590443e-05
15,combination6nsubj/(nsubjpass+pobj),0.7237903225806452,4.191914508448348e-06,0.7354838709677419,2.4342653579640227e-06
16,combination7nsubj/(nsubj+pobj),0.7068548387096775,8.792560993510406e-06,0.7270161290322581,3.618151109421596e-06
17,combination8nsubj/(nsubj+dobj),0.7591491116309529,7.398176105871742e-07,0.647847568571116,8.142213514607483e-05
18,combination9nsubj/(nsubj+nsubjpass),0.7077326379348327,8.472079692726594e-06,0.6309103772359234,0.0001417401401442544
19,combination10nsubjpass/nsubj,-0.7077326379348327,8.472079692726594e-06,-0.6309103772359234,0.0001417401401442544
20,combination11nsubjpass/dobj,0.21433612368225838,0.24692538983751322,0.20304466279213002,0.27329388764861995
21,combination12nsubjpass/pobj,0.06653225806451614,0.7221344800657483,0.18145161290322584,0.32861648994589543
22,combination13nsubjpass/(dobj+pobj),0.1649193548387097,0.37529921962674617,0.2580645161290323,0.16101385269106586
23,combination14nsubjpass/(nsubjpass+dobj),0.21433612368225838,0.24692538983751322,0.20304466279213002,0.27329388764861995
