,posib_comb,correlation_agency,pvalue_agency,correlation_patiency,pvalue_patiency
0,(nsubj+dobj),0.20412898439965368,0.0010445303085278963,0.10275984015272878,0.10158494655858911
1,(nsubj+pobj),0.22580377269605614,0.00027782733437718075,0.11480367293304221,0.0672025693861212
2,(nsubjpass+dobj),0.07537771724314007,0.23034173234524738,-0.02091037912688705,0.7396568586231498
3,(nsubjpass+pobj),0.15307901461698736,0.014408895115338712,0.04032638891151559,0.521485125946541
4,(dobj+pobj),0.12553876093398375,0.045201531400891316,0.01177015077893601,0.8516313992828617
5,combination1nsubj/nsubjpass,0.3931393671693157,7.45769378841105e-11,0.3498528137297851,9.371661287885282e-09
6,combination2nsubj/dobj,0.6502484516102377,4.899620867700378e-32,0.6243834392069519,5.743593889223424e-29
7,combination3nsubj/pobj,0.5273443980925818,1.1789282896180147e-19,0.5378706666415567,1.5963499903031202e-20
8,combination4nsubj/(dobj+pobj),0.5911718324252301,2.005605838667914e-25,0.5994184222497758,2.889664738655881e-26
9,combination5nsubj/(nsubjpass+dobj),0.6535527082595127,1.8897282946978355e-32,0.6260390969120724,3.7267410261924274e-29
10,combination6nsubj/(nsubjpass+pobj),0.5280891009053187,1.025755433085569e-19,0.5363917543495225,2.1230916787241208e-20
11,combination7nsubj/(nsubj+pobj),0.5273443980925818,1.1789282896180147e-19,0.5378706666415567,1.5963499903031202e-20
12,combination8nsubj/(nsubj+dobj),0.6502484516102377,4.899620867700378e-32,0.6243834392069519,5.743593889223424e-29
13,combination9nsubj/(nsubj+nsubjpass),0.3931393671693157,7.45769378841105e-11,0.3498528137297851,9.371661287885282e-09
14,combination10nsubjpass/nsubj,-0.3931393671693157,7.45769378841105e-11,-0.3498528137297851,9.371661287885282e-09
15,combination11nsubjpass/dobj,0.43001426083439614,6.708248463589939e-13,0.4317431948913929,5.301752511262561e-13
16,combination12nsubjpass/pobj,0.2520652596540691,4.67482901784614e-05,0.3139090871096262,3.0870902075287084e-07
17,combination13nsubjpass/(dobj+pobj),0.3462310888624893,1.3604057511941968e-08,0.4062234486791729,1.4967315604842408e-11
18,combination14nsubjpass/(nsubjpass+dobj),0.43001426083439614,6.708248463589939e-13,0.4317431948913929,5.301752511262561e-13
19,combination15nsubjpass/(nsubjpass+pobj),0.2520652596540691,4.67482901784614e-05,0.3139090871096262,3.0870902075287084e-07
20,combination16nsubjpass/(nsubj+pobj),0.053020842643631286,0.3991678120603489,0.12794606580892715,0.0412016786599799
21,combination17nsubjpass/(nsubj+dobj),0.09853854734048344,0.11650217846681866,0.12112827985649778,0.05337438812130438
22,combination18nsubjpass/(nsubj+nsubjpass),-0.3931393671693157,7.45769378841105e-11,-0.3498528137297851,9.371661287885282e-09
23,combination19dobj/nsubj,-0.6502484516102377,4.899620867700378e-32,-0.6243834392069519,5.743593889223424e-29
24,combination20dobj/nsubjpass,-0.43001426083439614,6.708248463589939e-13,-0.4317431948913929,5.301752511262561e-13
25,combination21dobj/pobj,-0.2776002463527454,6.798660345952063e-06,-0.2432207738258233,8.711700763870701e-05
26,combination22dobj/(dobj+pobj),-0.2776002463527454,6.798660345952063e-06,-0.2432207738258233,8.711700763870701e-05
27,combination23dobj/(nsubjpass+dobj),-0.43001426083439614,6.708248463589939e-13,-0.4317431948913929,5.301752511262561e-13
28,combination24dobj/(nsubjpass+pobj),-0.2900919427390685,2.4609481754987025e-06,-0.25537897874545123,3.6805014715294566e-05
29,combination25dobj/(nsubj+pobj),-0.4411648485734777,1.4362614275992126e-13,-0.40731394089498807,1.3050525103099244e-11
30,combination26dobj/(nsubj+dobj),-0.6502484516102377,4.899620867700378e-32,-0.6243834392069519,5.743593889223424e-29
31,combination27dobj/(nsubj+nsubjpass),-0.6372833468065398,1.841266378141584e-30,-0.6152478888316755,5.967632860161059e-28
32,combination28pobj/nsubj,-0.5273443980925818,1.1789282896180147e-19,-0.5378706666415567,1.5963499903031202e-20
33,combination29pobj/nsubjpass,-0.2520652596540691,4.67482901784614e-05,-0.3139090871096262,3.0870902075287084e-07
34,combination30pobj/dobj,0.2776002463527454,6.798660345952063e-06,0.2432207738258233,8.711700763870701e-05
35,combination31pobj/(dobj+pobj),0.2776002463527454,6.798660345952063e-06,0.2432207738258233,8.711700763870701e-05
36,combination32pobj/(nsubjpass+dobj),0.2575418882217613,3.1430683095904645e-05,0.22076091875038464,0.0003825024036833381
37,combination33pobj/(nsubjpass+pobj),-0.2520652596540691,4.67482901784614e-05,-0.3139090871096262,3.0870902075287084e-07
38,combination34pobj/(nsubj+pobj),-0.5273443980925818,1.1789282896180147e-19,-0.5378706666415567,1.5963499903031202e-20
39,combination35pobj/(nsubj+dobj),-0.1810362405752209,0.0037230638908995186,-0.2026529594982587,0.001137767259329454
40,combination36pobj/(nsubj+nsubjpass),-0.5206322233588575,4.0702518256105667e-19,-0.5365736981439937,2.0500573632924698e-20
41,combination37(dobj+pobj)/nsubj,-0.5911718324252301,2.005605838667914e-25,-0.5994184222497758,2.889664738655881e-26
42,combination38(dobj+pobj)/nsubjpass,-0.3462310888624893,1.3604057511941968e-08,-0.4062234486791729,1.4967315604842408e-11
43,combination39(dobj+pobj)/dobj,0.2776002463527454,6.798660345952063e-06,0.2432207738258233,8.711700763870701e-05
44,combination40(dobj+pobj)/pobj,-0.2776002463527454,6.798660345952063e-06,-0.2432207738258233,8.711700763870701e-05
45,combination41(dobj+pobj)/(nsubjpass+dobj),0.24011423120820757,0.00010782203835935376,0.20309735746157775,0.001108921085878433
46,combination42(dobj+pobj)/(nsubjpass+pobj),-0.3089703052413829,4.820803677192067e-07,-0.27666013995940686,7.324542869699049e-06
47,combination43(dobj+pobj)/(nsubj+pobj),-0.5968646842294383,5.296610696686526e-26,-0.5793278238071803,2.9468011068753685e-24
48,combination44(dobj+pobj)/(nsubj+dobj),-0.39506382806266194,5.914580347189103e-11,-0.4139022846612847,5.641989037813365e-12
49,combination45(dobj+pobj)/(nsubj+nsubjpass),-0.5830136472761942,1.2919538043864475e-24,-0.5969356083327407,5.208604096836873e-26
50,combination46(nsubjpass+dobj)/nsubj,-0.6535527082595127,1.8897282946978355e-32,-0.6260390969120724,3.7267410261924274e-29
51,combination47(nsubjpass+dobj)/nsubjpass,-0.43001426083439614,6.708248463589939e-13,-0.4317431948913929,5.301752511262561e-13
52,combination48(nsubjpass+dobj)/dobj,0.43001426083439614,6.708248463589939e-13,0.4317431948913929,5.301752511262561e-13
53,combination49(nsubjpass+dobj)/pobj,-0.2575418882217613,3.1430683095904645e-05,-0.22076091875038464,0.0003825024036833381
54,combination50(nsubjpass+dobj)/(dobj+pobj),-0.24011423120820757,0.00010782203835935376,-0.20309735746157775,0.001108921085878433
55,combination51(nsubjpass+dobj)/(nsubjpass+pobj),-0.27016737551594583,1.2162523976519115e-05,-0.2342910687492111,0.0001596021831298399
56,combination52(nsubjpass+dobj)/(nsubj+pobj),-0.4319531177204485,5.151957116733774e-13,-0.3956310736701449,5.522345616493035e-11
57,combination53(nsubjpass+dobj)/(nsubj+dobj),-0.6595134603889101,3.286652159522961e-33,-0.6271071443433452,2.8154428811821655e-29
58,combination54(nsubjpass+dobj)/(nsubj+nsubjpass),-0.6443065123174563,2.638851857419224e-31,-0.6219609367197846,1.0765334851873857e-28
59,combination55(nsubjpass+pobj)/nsubj,-0.5280891009053187,1.025755433085569e-19,-0.5363917543495225,2.1230916787241208e-20
60,combination56(nsubjpass+pobj)/nsubjpass,-0.2520652596540691,4.67482901784614e-05,-0.3139090871096262,3.0870902075287084e-07
