,posib_comb,correlation_agency,pvalue_agency,correlation_patiency,pvalue_patiency
0,(nsubj+dobj),0.6401855058242432,0.00010505935754653948,0.6928117789014486,1.5648472419629522e-05
1,(nsubj+pobj),0.6633064516129032,4.76329758205458e-05,0.7076612903225807,8.49772873972189e-06
2,(nsubjpass+dobj),0.5258064516129033,0.002382316578667928,0.6266129032258065,0.00016230985155176912
3,(nsubjpass+pobj),0.5992539600975277,0.0003677067136127485,0.6613569949932339,5.105023690813646e-05
4,(dobj+pobj),0.5705645161290324,0.0008036176662982177,0.6379032258064516,0.00011319582612062699
5,combination1nsubj/nsubjpass,0.6641129032258065,4.628035636554899e-05,0.5717741935483871,0.0007786748080537085
6,combination2nsubj/dobj,0.772983870967742,3.458340919757739e-07,0.6536290322580646,6.686354344543988e-05
7,combination3nsubj/pobj,0.7387096774193549,2.084945623988968e-06,0.7395161290322582,2.0050487715640065e-06
8,combination4nsubj/(dobj+pobj),0.7689516129032259,4.3395732100477576e-07,0.7330645161290323,2.7302137051897652e-06
9,combination5nsubj/(nsubjpass+dobj),0.7866935483870968,1.5424667857685232e-07,0.6741935483870969,3.204801380145682e-05
10,combination6nsubj/(nsubjpass+pobj),0.7431451612903226,1.678790112134531e-06,0.740725806451613,1.8904061934003737e-06
11,combination7nsubj/(nsubj+pobj),0.7387096774193549,2.084945623988968e-06,0.7395161290322582,2.0050487715640065e-06
12,combination8nsubj/(nsubj+dobj),0.772983870967742,3.458340919757739e-07,0.6536290322580646,6.686354344543988e-05
13,combination9nsubj/(nsubj+nsubjpass),0.6641129032258065,4.628035636554899e-05,0.5717741935483871,0.0007786748080537085
14,combination10nsubjpass/nsubj,-0.6641129032258065,4.628035636554899e-05,-0.5717741935483871,0.0007786748080537085
15,combination11nsubjpass/dobj,0.21312632430117323,0.24966678958590086,0.23349128054944052,0.20617208667715778
16,combination12nsubjpass/pobj,0.12943548387096776,0.4876953542337762,0.3004032258064516,0.10058618694746227
17,combination13nsubjpass/(dobj+pobj),0.1842741935483871,0.3210195660694439,0.2987903225806452,0.10251647681510084
18,combination14nsubjpass/(nsubjpass+dobj),0.21312632430117323,0.24966678958590086,0.23349128054944052,0.20617208667715778
19,combination15nsubjpass/(nsubjpass+pobj),0.12943548387096776,0.4876953542337762,0.3004032258064516,0.10058618694746227
20,combination16nsubjpass/(nsubj+pobj),-0.49717741935483883,0.004434392887625281,-0.3443548387096774,0.05783088843188054
21,combination17nsubjpass/(nsubj+dobj),-0.5620967741935485,0.0009987323025433814,-0.46048387096774196,0.009139411043685418
22,combination18nsubjpass/(nsubj+nsubjpass),-0.6641129032258065,4.628035636554899e-05,-0.5717741935483871,0.0007786748080537085
23,combination19dobj/nsubj,-0.772983870967742,3.458340919757739e-07,-0.6536290322580646,6.686354344543988e-05
24,combination20dobj/nsubjpass,-0.21312632430117323,0.24966678958590086,-0.23349128054944052,0.20617208667715778
25,combination21dobj/pobj,-0.12096774193548387,0.5168366857852991,-0.017338709677419357,0.9262392383389881
26,combination22dobj/(dobj+pobj),-0.12096774193548387,0.5168366857852991,-0.017338709677419357,0.9262392383389881
27,combination23dobj/(nsubjpass+dobj),-0.21312632430117323,0.24966678958590086,-0.23349128054944052,0.20617208667715778
28,combination24dobj/(nsubjpass+pobj),-0.13629032258064516,0.4647360144635305,-0.033064516129032266,0.8598397161126604
29,combination25dobj/(nsubj+pobj),-0.6306451612903227,0.0001429388438004281,-0.48951612903225816,0.005190754762226628
30,combination26dobj/(nsubj+dobj),-0.772983870967742,3.458340919757739e-07,-0.6536290322580646,6.686354344543988e-05
31,combination27dobj/(nsubj+nsubjpass),-0.7528984814953461,1.026308529213169e-06,-0.6353463082999024,0.00012297514715523027
32,combination28pobj/nsubj,-0.7387096774193549,2.084945623988968e-06,-0.7395161290322582,2.0050487715640065e-06
33,combination29pobj/nsubjpass,-0.12943548387096776,0.4876953542337762,-0.3004032258064516,0.10058618694746227
34,combination30pobj/dobj,0.12096774193548387,0.5168366857852991,0.017338709677419357,0.9262392383389881
35,combination31pobj/(dobj+pobj),0.12096774193548387,0.5168366857852991,0.017338709677419357,0.9262392383389881
36,combination32pobj/(nsubjpass+dobj),0.10967741935483871,0.5569754307236023,-0.010080645161290324,0.9570774372567347
37,combination33pobj/(nsubjpass+pobj),-0.12943548387096776,0.4876953542337762,-0.3004032258064516,0.10058618694746227
38,combination34pobj/(nsubj+pobj),-0.7387096774193549,2.084945623988968e-06,-0.7395161290322582,2.0050487715640065e-06
39,combination35pobj/(nsubj+dobj),-0.6173387096774193,0.00021598796760505804,-0.6596774193548388,5.416888082540729e-05
40,combination36pobj/(nsubj+nsubjpass),-0.7189516129032258,5.2079516256956064e-06,-0.7306451612903226,3.0584347620409315e-06
41,combination37(dobj+pobj)/nsubj,-0.7689516129032259,4.3395732100477576e-07,-0.7330645161290323,2.7302137051897652e-06
42,combination38(dobj+pobj)/nsubjpass,-0.1842741935483871,0.3210195660694439,-0.2987903225806452,0.10251647681510084
43,combination39(dobj+pobj)/dobj,0.12096774193548387,0.5168366857852991,0.017338709677419357,0.9262392383389881
44,combination40(dobj+pobj)/pobj,-0.12096774193548387,0.5168366857852991,-0.017338709677419357,0.9262392383389881
45,combination41(dobj+pobj)/(nsubjpass+dobj),0.10362903225806452,0.5790529136976081,-0.021370967741935486,0.9091493356143368
46,combination42(dobj+pobj)/(nsubjpass+pobj),-0.1342741935483871,0.47142898795379495,-0.0407258064516129,0.8278003705498522
47,combination43(dobj+pobj)/(nsubj+pobj),-0.7463709677419356,1.4301014713179391e-06,-0.6463709677419355,8.556772298832535e-05
48,combination44(dobj+pobj)/(nsubj+dobj),-0.7088709677419356,8.07220644971884e-06,-0.7169354838709678,5.693436391383669e-06
49,combination45(dobj+pobj)/(nsubj+nsubjpass),-0.7596774193548388,7.193094231058118e-07,-0.7290322580645162,3.2967033913688153e-06
50,combination46(nsubjpass+dobj)/nsubj,-0.7866935483870968,1.5424667857685232e-07,-0.6741935483870969,3.204801380145682e-05
